Speaker: 103, Supervector Length: 104
Speaker: 1034, Supervector Length: 104
Speaker: 1040, Supervector Length: 104
Speaker: 1069, Supervector Length: 104
Speaker: 1081, Supervector Length: 104
Speaker: 1088, Supervector Length: 104
Speaker: 1098, Supervector Length: 104
Speaker: 1116, Supervector Length: 104
Speaker: 118, Supervector Length: 104
Speaker: 1183, Supervector Length: 104
Speaker: 1235, Supervector Length: 104
Speaker: 1246, Supervector Length: 104
Speaker: 125, Supervector Length: 104
Speaker: 1263, Supervector Length: 104
Speaker: 1334, Supervector Length: 104
Speaker: 1355, Supervector Length: 104
Speaker: 1363, Supervector Length: 104
Speaker: 1447, Supervector Length: 104
Speaker: 1455, Supervector Length: 104
Speaker: 150, Supervector Length: 104
Speaker: 1502, Supervector Length: 104
Speaker: 1553, Supervector Length: 104
Speaker: 1578, Supervector Length: 104
Speaker: 1594, Supervector Length: 104
Speaker: 1624, Supervector Length: 104
Speaker: 163, Supervector Length: 104
Speaker: 1723, Supervector Length: 104
Speaker: 1737, Supervector Length: 104
Speaker: 1743, Supervector Length: 104
Speaker: 1841, Supervector Length: 104
Speaker: 1867, Supervector Length: 104
Speaker: 1898, Supervector Length: 104
Speaker: 19, Supervector Length: 104
Speaker: 1926, Supervector Length: 104
Speaker: 196, Supervector Length: 104
Speaker: 1963, Supervector Length: 104
Speaker: 1970, Supervector Length: 104
Speaker: 198, Supervector Length: 104
Speaker: 1992, Supervector Length: 104
Speaker: 200, Supervector Length: 104
Speaker: 2002, Supervector Length: 104
Speaker: 2007, Supervector Length: 104
Speaker: 201, Supervector Length: 104
Speaker: 2092, Supervector Length: 104
Speaker: 211, Supervector Length: 104
Speaker: 2136, Supervector Length: 104
Speaker: 2159, Supervector Length: 104
Speaker: 2182, Supervector Length: 104
Speaker: 2196, Supervector Length: 104
Speaker: 226, Supervector Length: 104
Speaker: 2289, Supervector Length: 104
Speaker: 229, Supervector Length: 104
Speaker: 233, Supervector Length: 104
Speaker: 2384, Supervector Length: 104
Speaker: 2391, Supervector Length: 104
Speaker: 2416, Supervector Length: 104
Speaker: 2436, Supervector Length: 104
Speaker: 248, Supervector Length: 104
Speaker: 250, Supervector Length: 104
Speaker: 2514, Supervector Length: 104
Speaker: 2518, Supervector Length: 104
Speaker: 254, Supervector Length: 104
Speaker: 26, Supervector Length: 104
Speaker: 2691, Supervector Length: 104
Speaker: 27, Supervector Length: 104
Speaker: 2764, Supervector Length: 104
Speaker: 2817, Supervector Length: 104
Speaker: 2836, Supervector Length: 104
Speaker: 2843, Supervector Length: 104
Speaker: 289, Supervector Length: 104
Speaker: 2893, Supervector Length: 104
Speaker: 2910, Supervector Length: 104
Speaker: 2911, Supervector Length: 104
Speaker: 2952, Supervector Length: 104
Speaker: 298, Supervector Length: 104
Speaker: 2989, Supervector Length: 104
Speaker: 302, Supervector Length: 104
Speaker: 307, Supervector Length: 104
Speaker: 311, Supervector Length: 104
Speaker: 3112, Supervector Length: 104
Speaker: 3168, Supervector Length: 104
Speaker: 32, Supervector Length: 104
Speaker: 3214, Supervector Length: 104
Speaker: 322, Supervector Length: 104
Speaker: 3235, Supervector Length: 104
Speaker: 3240, Supervector Length: 104
Speaker: 3242, Supervector Length: 104
Speaker: 3259, Supervector Length: 104
Speaker: 328, Supervector Length: 104
Speaker: 332, Supervector Length: 104
Speaker: 3374, Supervector Length: 104
Speaker: 3436, Supervector Length: 104
Speaker: 3440, Supervector Length: 104
Speaker: 3486, Supervector Length: 104
Speaker: 3526, Supervector Length: 104
Speaker: 3607, Supervector Length: 104
Speaker: 3664, Supervector Length: 104
Speaker: 3699, Supervector Length: 104
Speaker: 3723, Supervector Length: 104
Speaker: 374, Supervector Length: 104
Speaker: 3807, Supervector Length: 104
Speaker: 3830, Supervector Length: 104
Speaker: 3857, Supervector Length: 104
Speaker: 3879, Supervector Length: 104
Speaker: 39, Supervector Length: 104
Speaker: 3947, Supervector Length: 104
Speaker: 3982, Supervector Length: 104
Speaker: 3983, Supervector Length: 104
Speaker: 40, Supervector Length: 104
Speaker: 4014, Supervector Length: 104
Speaker: 4018, Supervector Length: 104
Speaker: 403, Supervector Length: 104
Speaker: 405, Supervector Length: 104
Speaker: 4051, Supervector Length: 104
Speaker: 4088, Supervector Length: 104
Speaker: 412, Supervector Length: 104
Speaker: 4137, Supervector Length: 104
Speaker: 4160, Supervector Length: 104
Speaker: 4195, Supervector Length: 104
Speaker: 4214, Supervector Length: 104
Speaker: 426, Supervector Length: 104
Speaker: 4267, Supervector Length: 104
Speaker: 4297, Supervector Length: 104
Speaker: 4340, Supervector Length: 104
Speaker: 4362, Supervector Length: 104
Speaker: 4397, Supervector Length: 104
Speaker: 4406, Supervector Length: 104
Speaker: 441, Supervector Length: 104
Speaker: 4441, Supervector Length: 104
Speaker: 445, Supervector Length: 104
Speaker: 446, Supervector Length: 104
Speaker: 4481, Supervector Length: 104
Speaker: 458, Supervector Length: 104
Speaker: 460, Supervector Length: 104
Speaker: 4640, Supervector Length: 104
Speaker: 4680, Supervector Length: 104
Speaker: 4788, Supervector Length: 104
Speaker: 481, Supervector Length: 104
Speaker: 4813, Supervector Length: 104
Speaker: 4830, Supervector Length: 104
Speaker: 4853, Supervector Length: 104
Speaker: 4859, Supervector Length: 104
Speaker: 4898, Supervector Length: 104
Speaker: 5022, Supervector Length: 104
Speaker: 5049, Supervector Length: 104
Speaker: 5104, Supervector Length: 104
Speaker: 5163, Supervector Length: 104
Speaker: 5192, Supervector Length: 104
Speaker: 5322, Supervector Length: 104
Speaker: 5339, Supervector Length: 104
Speaker: 5390, Supervector Length: 104
Speaker: 5393, Supervector Length: 104
